name,pos,club,proj_score,ps26,bye,age,games25,category,smoky_note,adp,player_id,notes,manual_insight,avg_2025_blend,draft_score,best_pos,vorp_proxy,market_rank,expert_consensus_rank,expert_rank_count,expert_best_rank,expert_worst_rank,expert_rank_stddev,expert_percentile,data_relative_value,data_vs_next_pick,data_waiver_strength,data_projected,data_risk,data_dpp,data_b23,data_gm25,data_notes,pdf_notes,pdf_role_change,pdf_midfield_uplift,pdf_season_out,pdf_source_count,rankings_vorp,rankings_projected,rankings_avg_2026,rankings_avg_2025,rankings_variance,rankings_l5,rankings_max,rankings_cba_pct,rankings_bye_round,rankings_injury,ultimate_price,ultimate_priced_at,ultimate_avg_2025,ultimate_games_2025,ultimate_max_2025,ultimate_x100_2025,ultimate_x120_2025,ultimate_tog_pct,ultimate_cba_pct,ultimate_avg_2024,ultimate_games_2024,ultimate_avg_2023,ultimate_games_2023,projection_spread,projection_source_count,adp_value_gap,data_confidence,data_confidence_score,source_count,source_rankings_csv,source_ultimate_xlsx,source_expert_xlsx,source_data_csv,club_conflict,position_conflict,projection_conflict,bye_conflict,conflict_notes
James Jordon,MID,SYD,56.9,47.8,15,25,23,depth,,355.0,1013409,,,56.9,48.89,MID,-32.9,511,,0,,,0.0,0.5,-11.7,-46.4,18.2,67.7,Low,No,✔,23,,,0,0,0,1,-30.3,56.9,56.9,60.6,-4.0,47.8,90.0,49.0,15,,,,56.9,23,90.0,0,0,83.0,0.49,60.9,23,50.3,17,10.8,3,-156.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Bailey Banfield,DEF,FRE,53.0,62.6,14,28,20,value,,469.0,998180,,,53.0,48.88,DEF,-23.1,371,,0,,,0.0,0.5,-34.1,-59.0,44.6,45.0,Low,No,?,21,,,0,0,0,0,-16.3,54.4,54.4,62.2,-8.0,62.6,95.0,0.0,14,,,,53.0,20,95.0,0,0,73.0,0.0,62.2,22,47.5,14,9.4,3,98.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Sam Clohesy,MID,GCS,62.1,,12,23,14,depth,,359.0,1013257,,,62.1,48.86,MID,-27.7,465,86.5,4,80,89,3.77,0.039,-13.9,-48.6,19.7,65.5,Medium,No,✔,14,,,0,0,0,2,-25.0,62.1,62.1,65.8,-4.0,,99.0,,12,,,,62.1,14,99.0,0,0,78.0,0.0,65.8,20,0.0,0,3.4,3,-106.0,high,0.94,4,1,1,1,1,0,0,0,0,
Tim Membrey,FWD,COL,52.5,40.8,14,31,21,value,,475.0,294596,,,51.8,48.84,FWD,-15.7,307,,0,,,0.0,0.5,-16.7,-55.6,39.2,53.3,Low,No,✔,23,,,0,0,0,0,-11.9,52.5,52.5,62.5,-10.0,40.8,106.0,,14,,,,51.8,21,106.0,1,0,82.0,0.0,62.5,19,54.4,7,1.5,3,168.0,high,0.81,3,1,1,0,1,0,0,0,0,
Tom Lynch,FWD,RIC,52.5,66.7,13,33,16,value,,374.0,293813,Injury flag: Managed,,52.5,48.84,FWD,-15.7,306,,0,,,0.0,0.5,-10.3,-49.2,30.3,59.7,High,No,✔,16,,,0,0,0,2,-11.9,52.5,52.5,40.8,12.0,66.7,89.0,,13,Managed,,,52.5,16,89.0,0,0,84.0,0.0,40.8,4,51.8,4,7.2,3,68.0,high,0.81,3,1,1,0,1,0,0,0,0,
Kyle Langford,FWD,ESS,54.3,66.3,15,29,9,value,,322.0,298630,,,49.9,48.8,FWD,-13.9,290,44.5,2,37,52,7.5,0.37,-8.5,-47.4,27.9,61.5,Medium,No,✔,9,,,0,0,0,1,-10.7,54.3,54.3,70.6,-16.0,66.3,73.0,,15,,,,49.9,9,73.0,0,0,75.0,0.0,70.6,23,73.0,23,11.6,3,32.0,high,0.86,4,1,1,1,1,0,0,1,0,
Rhyan Mansell,FWD,RIC,58.4,66.2,13,25,20,value,,434.0,1008478,,,58.4,48.75,FWD,-9.8,199,69,2,69,69,0.0,0.014,-17.2,-56.1,39.9,52.8,Low,No,,20,,,0,0,0,1,-3.8,60.6,60.6,54.8,6.0,66.2,108.0,0.0,13,,,,58.4,20,108.0,1,0,75.0,0.0,54.8,21,41.2,17,7.8,3,235.0,high,0.94,4,1,1,1,1,0,0,0,0,
Bailey J. Williams,RUC/FWD,WCE,52.6,45.3,15,25,16,value,,424.0,1006114,Injury: Groin.,,52.6,48.71,FWD,-15.6,305,,0,,,0.0,0.5,-5.4,-43.7,1.0,65.2,Medium,Yes,✔,16,Injury: Groin.,,0,0,0,0,-11.7,52.6,52.6,63.8,-11.0,45.3,76.0,43.0,15,,,,52.6,16,76.0,0,0,76.0,0.43,64.0,23,76.7,23,12.6,3,119.0,medium,0.76,3,1,1,0,1,0,0,1,0,
Murphy Reid,FWD,FRE,56.0,56.2,14,19,23,depth,,184.0,1028513,"Role: Likely to get low CBAs through the year. A lot of talent, worth a late punt.",,55.4,48.68,FWD,-12.2,259,,0,,,0.0,0.5,-10.9,-49.8,31.1,59.1,Low,No,✔,24,"Role: Likely to get low CBAs through the year. A lot of talent, worth a late punt.",,0,0,0,2,-8.4,56.0,56.0,,0.0,56.2,94.0,1.0,14,,,,55.4,23,94.0,0,0,79.0,0.01,0.0,0,0.0,0,3.7,3,-75.0,high,0.84,3,1,1,0,1,0,0,0,0,
Finn Maginness,FWD,HAW,52.1,,14,25,13,smoky,"Role: Forward or tag, wont score.",629.0,1009421,"Role: Forward or tag, wont score. | Injury flag: Managed",,48.9,48.67,FWD,-16.1,280,,0,,,0.0,0.5,-17.9,-56.8,40.8,52.1,Medium,No,?,13,"Role: Forward or tag, wont score.",,0,0,0,0,-10.1,54.3,54.3,63.1,-9.0,,95.0,,14,Managed,,,48.9,13,95.0,0,0,73.0,0.0,49.2,11,43.0,13,5.4,3,349.0,high,0.84,3,1,1,0,1,0,0,0,0,
Heath Chapman,DEF,FRE,55.6,41.4,14,24,22,value,,398.0,1013224,,,53.6,48.62,DEF,-20.5,354,56,1,56,56,0.0,0.203,-19.0,-43.9,26.6,60.1,Low,No,✔,23,,,0,0,0,1,-15.0,55.6,55.6,65.6,-10.0,41.4,103.0,,14,,,,53.6,22,103.0,1,0,79.0,0.0,65.6,16,60.3,3,6.5,3,44.0,high,0.94,4,1,1,1,1,0,0,0,0,
Jeremy Howe,DEF,COL,55.8,,14,35,18,depth,,284.0,291313,Injury: Calf strain. Done it twice in the pre-season. | Injury flag: Injured,,51.9,48.54,DEF,-20.3,310,,0,,,0.0,0.5,-25.3,-48.2,31.8,55.8,High,No,✔,19,Injury: Calf strain. Done it twice in the pre-season.,,0,0,0,2,-12.0,58.6,58.6,67.3,-9.0,,111.0,,14,Injured,,,51.9,18,111.0,1,0,76.0,0.0,64.5,19,62.9,11,6.7,3,-26.0,high,0.84,3,1,1,0,1,0,0,0,0,
George Stevens,MID,GEE,52.5,,16,20,2,rookie,,326.0,1023681,,,52.5,48.52,MID,-37.3,204,,0,,,0.0,0.5,-50.6,-85.3,40.5,28.8,High,No,?,2,,,0,0,0,1,-4.0,84.0,84.0,,0.0,,84.0,69.0,16,,,,52.5,2,84.0,0,0,56.0,0.44,0.0,0,0.0,0,55.2,3,122.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Jack Higgins,FWD,STK,52.0,53.4,16,26,23,value,,465.0,1002227,,,52.0,48.48,FWD,-16.2,315,,0,,,0.0,0.5,-16.5,-55.4,38.9,53.5,Low,No,✔,23,,,0,0,0,0,-12.4,52.0,52.0,60.9,-9.0,53.4,85.0,,16,,,,52.0,23,85.0,0,0,83.0,0.0,60.9,20,63.7,21,1.5,3,150.0,high,0.81,3,1,1,0,1,0,0,0,0,
Liam Ryan,FWD,STK,57.1,58.4,16,29,20,value,,437.0,1004364,,,57.1,48.47,FWD,-11.1,243,64.5,2,61,68,3.5,0.08,-17.2,-56.1,39.9,52.8,Low,No,,20,,,0,0,0,1,-7.3,57.1,57.1,58.4,-1.0,58.4,88.0,22.0,16,,,,57.1,20,88.0,0,0,83.0,0.21,58.4,16,72.3,3,4.3,3,194.0,high,0.94,4,1,1,1,1,0,0,0,0,
Connor O'Sullivan,DEF,GEE,55.8,60.0,16,20,22,depth,,323.0,1027877,,,57.5,48.42,DEF,-20.3,350,,0,,,0.0,0.5,-27.3,-52.2,36.6,51.8,Low,No,✔,25,,,0,0,0,1,-14.8,55.8,55.8,40.0,16.0,60.0,96.0,,16,,,,57.5,22,96.0,0,0,93.0,0.0,40.0,1,0.0,0,5.7,3,-27.0,high,0.81,3,1,1,0,1,0,0,0,0,
Sam Collins,DEF,GCS,51.9,51.8,12,31,20,value,,562.0,295446,,,51.9,48.41,DEF,-24.2,406,,0,,,0.0,0.5,-26.9,-51.8,36.1,52.2,Low,No,✔,22,,,0,0,0,1,-18.9,51.8,51.8,53.6,-2.0,51.8,85.0,,12,,,,51.9,20,85.0,0,0,92.0,0.0,53.5,23,54.4,23,0.4,3,156.0,high,0.81,3,1,1,0,1,0,0,0,0,
Luke Trainor,DEF,RIC,56.2,57.0,13,19,21,value,,544.0,1028521,"PDF insight: 2026-Draft-Kit-gs7zws p96: SuperCoach and AFL Fantasy Draft Kit - 2026 Tim Taranto Luke Trainor Nick Vlastuin14 111 Commanding 81% of Richmond’s CBAs, Taranto was Richmond’s highest averaging fant...",,55.0,48.4,DEF,-19.9,308,60.5,2,59,62,1.5,0.138,-22.9,-47.8,31.3,56.2,Medium,No,✔,22,,"2026-Draft-Kit-gs7zws p96: SuperCoach and AFL Fantasy Draft Kit - 2026 Tim Taranto Luke Trainor Nick Vlastuin14 111 Commanding 81% of Richmond’s CBAs, Taranto was Richmond’s highest averaging fant...",0,1,0,1,-12.0,58.7,58.7,,0.0,57.0,90.0,,13,,,,55.0,21,90.0,0,0,72.0,0.0,0.0,0,0.0,0,3.7,3,236.0,high,0.94,4,1,1,1,1,0,0,0,0,
Luke Cleary,DEF,WBD,51.8,54.6,16,23,16,value,,568.0,1015929,,,51.8,48.34,DEF,-24.3,407,,0,,,0.0,0.5,-33.0,-57.9,43.3,46.1,High,No,,16,,,0,0,0,0,-18.9,51.8,51.8,36.0,16.0,54.6,75.0,,16,,,,51.8,16,75.0,0,0,79.0,0.0,43.0,2,31.0,1,5.7,3,161.0,high,0.81,3,1,1,0,1,0,0,0,0,
Hunter Clark,MID,STK,61.4,88.0,16,26,13,depth,,217.0,1002264,Flag: Not named in GC PS game. Either not fit or may no longer be best 23.,,61.4,48.26,MID,-28.4,312,85.67,3,84,88,1.7,0.049,-21.8,-56.5,25.4,57.6,Medium,No,?,13,Flag: Not named in GC PS game. Either not fit or may no longer be best 23.,,0,0,0,2,-12.1,75.4,75.4,73.5,2.0,88.0,93.0,24.0,16,,,,61.4,13,93.0,0,0,57.0,0.24,73.5,11,67.8,18,17.8,3,-95.0,high,0.89,4,1,1,1,1,0,0,1,0,
Elijah Tsatas,MID,ESS,55.3,,15,21,5,rookie,,329.0,1023785,Flag: Likely to get moved outside of the midfield unless injuries to main 4 mids.,,49.8,48.18,MID,-34.5,540,,0,,,0.0,0.5,-24.1,-58.8,27.0,55.3,High,No,?,5,Flag: Likely to get moved outside of the midfield unless injuries to main 4 mids.,,0,0,0,1,-35.0,57.5,57.5,58.3,-1.0,,71.0,55.0,15,,,,49.8,5,71.0,0,0,52.0,0.46,36.7,7,64.3,4,7.7,3,-211.0,high,0.84,3,1,1,0,1,0,0,0,0,
Lewis Hayes,DEF,ESS,52.0,,15,21,1,rookie,,697.0,1023487,Injury flag: Injured,,52.0,48.16,DEF,-24.1,452,,0,,,0.0,0.5,-40.1,-65.0,50.8,39.0,Medium,No,,1,,,0,0,0,0,-23.7,52.0,52.0,,0.0,,52.0,,15,Injured,,,52.0,1,52.0,0,0,67.0,0.0,0.0,0,0.0,0,13.0,3,245.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Judd McVee,DEF,FRE,54.5,47.2,14,22,17,smoky,"Role: Traded to freo, likely to pick up more distributor minutes off half back.",403.0,1017703,"Role: Traded to freo, likely to pick up more distributor minutes off half back. Punt.",,54.5,48.12,DEF,-21.6,370,51.5,2,51,52,0.5,0.268,-8.5,-33.4,15.4,70.6,Low,No,✔,17,"Role: Traded to freo, likely to pick up more distributor minutes off half back. Punt.",,0,0,0,1,-16.2,54.5,54.5,59.0,-5.0,47.2,90.0,0.0,14,,,,54.5,17,90.0,0,0,80.0,0.0,59.0,23,46.1,23,16.1,3,33.0,high,0.89,4,1,1,1,1,0,0,1,0,
Jesse Motlop,FWD,CAR,51.3,47.8,14,22,23,value,,672.0,1017700,Injury: Season. | Injury flag: Injured,,50.8,48.1,FWD,-16.9,324,,0,,,0.0,0.5,,-54.4,37.5,54.5,High,No,✔,23,Injury: Season.,,0,0,0,0,-13.0,51.3,51.3,38.7,13.0,47.8,95.0,15.0,14,Injured,,,50.8,23,95.0,0,0,76.0,0.15,35.8,6,49.7,18,3.7,3,348.0,high,0.84,3,1,1,0,1,0,0,0,0,
Kai Lohmann,FWD,BRL,56.3,52.0,15,22,14,value,,344.0,1014026,,,46.3,47.94,FWD,-11.9,253,62,2,60,64,2.0,0.116,-7.3,-46.2,26.4,62.7,Low,No,✔,18,,,0,0,0,2,-8.1,56.3,56.3,66.0,-10.0,52.0,84.0,,15,,,,46.3,14,84.0,0,0,67.0,0.0,59.8,23,32.3,6,16.4,3,91.0,high,0.86,4,1,1,1,1,0,0,1,0,
Jake Lever,DEF,MEL,52.3,,16,29,8,value,,436.0,298281,,,52.3,47.9,DEF,-23.8,411,,0,,,0.0,0.5,-21.9,-46.8,30.1,57.2,Medium,No,✔,8,,,0,0,0,0,-19.5,52.3,52.3,59.1,-7.0,,93.0,,16,,,,52.3,8,93.0,0,0,91.0,0.0,56.1,18,54.7,22,4.9,3,25.0,high,0.81,3,1,1,0,1,0,0,0,0,
Buku Khamis,DEF/FWD,WBD,51.2,,16,25,14,value,,493.0,998782,,,47.7,47.9,FWD,-17.0,314,,0,,,0.0,0.5,-18.8,-52.8,37.3,51.2,Medium,Yes,✔,14,,,0,0,0,0,-12.2,52.2,52.2,46.4,6.0,,76.0,8.0,16,,,,47.7,14,76.0,0,0,73.0,0.07,43.7,17,15.0,1,4.5,3,179.0,high,0.81,3,1,1,0,1,0,0,0,0,
Jai Culley,MID,MEL,59.8,59.8,16,23,4,depth,,419.0,1020802,Injury: Broken arm. Role: May get used in the mid field. Punt. | Injury flag: Injured,,59.8,47.84,MID,-30.0,528,82,1,82,82,0.0,0.09,-18.5,-49.4,20.3,64.7,High,No,?,4,Injury: Broken arm. Role: May get used in the mid field. Punt.,,0,0,0,2,-32.4,59.8,59.8,40.3,19.0,59.8,78.0,,16,Injured,,,59.8,4,78.0,0,0,73.0,0.0,40.3,3,41.0,5,4.9,3,-109.0,high,0.97,4,1,1,1,1,0,0,0,0,
Nick Coffield,DEF,WBD,55.0,,16,26,4,depth,,390.0,1005717,,,55.0,47.84,DEF,-21.1,398,,0,,,0.0,0.5,-30.8,-55.7,40.8,48.3,High,No,,4,,,0,0,0,0,-18.5,55.0,55.0,47.6,7.0,,74.0,,16,,,,55.0,4,74.0,0,0,79.0,0.0,41.9,8,0.0,0,6.7,3,-8.0,high,0.81,3,1,1,0,1,0,0,0,0,
Henry Hustwaite,MID,HAW,51.5,,14,21,4,rookie,,327.0,1023680,,,51.5,47.8,MID,-38.3,256,,0,,,0.0,0.5,-39.5,-74.2,36.3,39.9,High,No,,4,,,0,0,0,0,-8.3,80.5,80.5,,0.0,,87.0,41.0,14,,,,51.5,4,87.0,0,0,53.0,0.35,22.8,4,62.5,2,40.6,3,71.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Harrison Petty,FWD,MEL,51.0,63.0,16,26,19,value,,528.0,1008893,,,48.1,47.76,FWD,-17.2,321,,0,,,0.0,0.5,-19.0,-57.9,42.4,51.0,Low,No,✔,19,,,0,0,0,0,-12.8,51.5,51.5,50.8,1.0,63.0,93.0,,16,,,,48.1,19,93.0,0,0,76.0,0.0,50.8,20,51.8,14,3.4,3,207.0,high,0.81,3,1,1,0,1,0,0,0,0,
Archer May,FWD,ESS,51.3,36.5,15,21,7,rookie,,522.0,1029084,,,51.3,47.66,FWD,-16.9,337,,0,,,0.0,0.5,-30.4,-69.3,57.4,39.6,High,No,?,7,,,0,0,0,1,-14.2,51.3,51.3,,0.0,36.5,74.0,,15,,,,51.3,7,74.0,0,0,77.0,0.0,0.0,0,0.0,0,11.7,3,185.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Lachlan Sholl,MID,ADE,59.3,,12,25,5,depth,,264.0,1006136,,,53.0,47.64,MID,-30.5,530,76.67,3,75,79,1.7,0.15,-16.3,-51.0,21.4,63.1,Medium,No,,5,,,0,0,0,1,-33.0,59.3,59.3,87.6,-28.0,,82.0,,12,,,,53.0,5,82.0,0,0,77.0,0.0,85.3,20,67.8,16,10.1,3,-266.0,high,0.86,4,1,1,1,1,0,0,1,0,
Mac Andrew,DEF,GCS,56.2,70.0,12,22,22,value,,420.0,1017396,,,56.0,47.6,DEF,-19.9,341,66,1,66,66,0.0,0.058,-22.9,-47.8,31.3,56.2,Low,No,✔,24,,,0,1,0,2,-14.5,56.2,56.2,65.3,-9.0,70.0,103.0,0.0,12,,,,56.0,22,103.0,1,0,92.0,0.0,64.3,20,48.9,17,0.2,3,79.0,high,0.94,4,1,1,1,1,0,0,0,0,
Jack Darling,FWD,NTH,51.1,55.2,12,33,22,value,,487.0,290838,,,51.1,47.51,FWD,-17.1,328,,0,,,0.0,0.5,-8.3,-47.2,27.7,61.7,Medium,No,✔,22,,,0,0,0,1,-13.2,51.1,51.1,53.6,-2.0,55.2,88.0,11.0,12,,,,51.1,22,88.0,0,0,83.0,0.11,53.6,21,58.4,20,10.6,3,159.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Riley Bice,DEF,SYD,56.7,,15,25,16,smoky,Role: Got distributor and defender time.,266.0,1008224,Role: Got distributor and defender time. Could be best 22. Monitor pre-season.,,56.7,47.47,DEF,-19.4,144,68,1,68,68,0.0,0.029,-22.9,-47.8,31.3,56.2,Medium,No,?,16,Role: Got distributor and defender time. Could be best 22. Monitor pre-season.,,0,0,0,1,2.0,72.6,72.6,,0.0,,125.0,,15,,,,56.7,16,125.0,1,1,67.0,0.0,0.0,0,0.0,0,16.4,3,122.0,high,0.89,4,1,1,1,1,0,0,1,0,
Hugh Boxshall,MID,STK,54.9,68.0,16,19,11,depth,,283.0,1029148,,,54.9,47.45,MID,-34.9,474,,0,,,0.0,0.5,-35.2,-69.9,34.0,44.2,High,No,?,11,,,0,0,0,0,-26.2,63.1,63.1,,0.0,68.0,74.0,17.0,16,,,,54.9,11,74.0,0,0,63.0,0.21,0.0,0,0.0,0,18.9,3,-191.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Lachie Weller,MID,GCS,54.4,57.2,12,30,17,depth,,294.0,298524,,,54.4,47.41,MID,-35.4,510,,0,,,0.0,0.5,-27.1,-61.8,29.1,52.3,Medium,No,?,19,,,0,0,0,0,-30.2,56.9,56.9,66.2,-9.0,57.2,88.0,5.0,12,,,,54.4,17,88.0,0,0,75.0,0.05,66.2,6,83.8,9,4.6,3,-216.0,high,0.81,3,1,1,0,1,0,0,0,0,
Nick Larkey,FWD,NTH,58.6,58.0,12,27,17,depth,,209.0,1001017,,,58.6,47.4,FWD,-9.6,225,60,2,53,67,7.0,0.145,-5.7,-44.6,24.4,64.3,Low,No,✔,17,,,0,0,0,2,-5.7,58.6,58.6,55.3,3.0,58.0,99.0,0.0,12,,,,58.6,17,99.0,0,0,92.0,0.0,55.3,23,60.0,23,5.7,3,-16.0,high,0.94,4,1,1,1,1,0,0,0,0,
Conor Stone,DEF,GWS,50.9,,13,23,7,value,,706.0,1015862,,,50.9,47.37,DEF,-25.2,433,,0,,,0.0,0.5,-38.8,-63.7,49.5,40.3,High,No,?,7,,,0,0,0,0,-21.6,50.9,50.9,27.0,24.0,,68.0,,13,,,,50.9,7,68.0,0,0,73.0,0.0,15.5,4,17.7,3,10.6,3,273.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Peter Ladhams,RUC/FWD,SYD,54.3,66.0,15,28,10,depth,,175.0,997142,,,50.9,47.34,FWD,-13.9,283,,0,,,0.0,0.5,-15.3,-54.2,1.5,54.7,High,Yes,,10,,,0,0,0,0,-10.3,54.3,54.3,37.0,17.0,66.0,109.0,30.0,15,,,,50.9,10,109.0,1,0,61.0,0.29,37.0,1,76.2,9,3.8,3,-108.0,high,0.81,3,1,1,0,1,0,0,0,0,
Blake Howes,DEF,MEL,50.6,47.8,16,22,12,value,,572.0,1017122,,,43.8,47.15,DEF,-25.5,418,,0,,,0.0,0.5,-27.0,-51.9,36.3,52.1,Medium,No,✔,12,,,0,0,0,0,-20.7,50.6,50.6,52.3,-2.0,47.8,86.0,,16,,,,43.8,12,86.0,0,0,67.0,0.0,52.3,16,0.0,0,8.3,3,154.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Will Graham,FWD,GCS,55.3,,12,20,8,rookie,,462.0,1026960,PDF insight: 2026-Draft-Kit-gs7zws p57: Opportunities Having forward status and a past with CBAs makes me keep an eye out.,,55.3,47.1,FWD,-12.9,272,65,1,65,65,0.0,0.072,-15.8,-54.7,37.9,54.2,Medium,No,✔,8,,2026-Draft-Kit-gs7zws p57: Opportunities Having forward status and a past with CBAs makes me keep an eye out.,1,1,0,1,-9.6,55.3,55.3,64.9,-10.0,,74.0,19.0,12,,,,55.3,8,74.0,0,0,80.0,0.19,58.6,17,0.0,0,1.1,3,190.0,high,0.94,4,1,1,1,1,0,0,0,0,
Jack Bowes,MID,GEE,58.8,76.0,16,28,18,depth,,353.0,998260,,,58.8,47.09,MID,-31.0,439,78.33,3,72,85,5.31,0.131,-26.0,-60.7,28.3,53.4,Low,No,,21,,,0,0,0,2,-22.6,64.6,64.6,85.4,-21.0,76.0,101.0,15.0,16,,,,58.8,18,101.0,1,0,66.0,0.14,78.5,20,60.7,17,11.2,3,-86.0,high,0.86,4,1,1,1,1,0,0,1,0,
Sam De Koning,DEF,GEE,55.9,44.6,16,25,20,smoky,"Role: Likely down back, some talk of some ruck time again.",417.0,1009229,"Role: Likely down back, some talk of some ruck time again.",,55.9,47.04,DEF,-20.2,331,67,2,67,67,0.0,0.043,-30.8,-55.7,40.8,48.3,Low,No,✔,23,"Role: Likely down back, some talk of some ruck time again.",,0,0,0,2,-13.6,57.0,57.0,55.0,2.0,44.6,124.0,14.0,16,,,,55.9,20,124.0,1,1,84.0,0.12,55.0,19,47.9,19,8.7,3,86.0,high,0.89,4,1,1,1,1,0,0,1,0,
Harrison Jones,MID/FWD,ESS,50.0,,15,25,7,value,,581.0,1011755,,,50.0,47.04,FWD,-18.2,363,,0,,,0.0,0.5,-26.6,-65.5,34.5,43.4,Medium,Yes,?,7,,,0,0,0,0,-15.6,50.0,50.0,54.8,-5.0,,72.0,1.0,15,,,,50.0,7,72.0,0,0,75.0,0.01,54.8,21,42.8,5,6.6,3,218.0,high,0.81,3,1,1,0,1,0,0,0,0,
Zak Johnson,DEF,ESS,50.4,37.0,15,19,9,value,,569.0,1028519,,,50.4,47.01,DEF,-25.7,366,,0,,,0.0,0.5,-31.2,-56.1,41.3,47.9,High,No,,9,,,0,0,0,1,-15.8,56.1,56.1,,0.0,37.0,104.0,,15,,,,50.4,9,104.0,1,0,59.0,0.0,0.0,0,0.0,0,8.2,3,203.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Laitham Vandermeer,FWD,WBD,49.7,45.0,16,27,19,value,,692.0,1005000,,,43.4,46.82,FWD,-18.5,346,,0,,,0.0,0.5,-20.2,-59.1,44.1,49.8,Low,No,✔,19,,,0,0,0,0,-14.7,49.7,49.7,49.6,0.0,45.0,81.0,,16,,,,43.4,19,81.0,0,0,64.0,0.0,44.6,23,53.1,11,6.4,3,346.0,high,0.81,3,1,1,0,1,0,0,0,0,
Joe Fonti,DEF,GWS,49.6,46.4,13,21,16,value,,586.0,1032629,,,49.7,46.75,DEF,-26.5,428,,0,,,0.0,0.5,-34.7,-59.6,45.2,44.4,Medium,No,,17,,,0,0,0,0,-21.1,49.6,49.6,48.0,2.0,46.4,86.0,,13,,,,49.7,16,86.0,0,0,77.0,0.0,38.3,4,0.0,0,5.3,3,158.0,high,0.81,3,1,1,0,1,0,0,0,0,
Jack Lukosius,FWD,PTA,55.2,42.0,12,25,7,value,,291.0,1004095,Poor 2025 due to injury. Healthy pre-season should bounce back. Role will remain key fwd.,,47.3,46.74,FWD,-13.0,282,49,1,49,49,0.0,0.304,-9.7,-48.6,29.5,60.3,Medium,No,✔,7,Poor 2025 due to injury. Healthy pre-season should bounce back. Role will remain key fwd.,,0,0,0,1,-10.3,55.2,55.2,61.3,-6.0,42.0,84.0,,12,,,,47.3,7,84.0,0,0,68.0,0.0,61.3,21,72.1,22,13.0,3,9.0,high,0.81,4,1,1,1,1,1,0,1,0,"Club mismatch: ADE, PTA"
Riley Hardeman,DEF,NTH,55.5,69.5,12,21,17,smoky,Role: Got distributor time in 2025.,388.0,1023625,Role: Got distributor time in 2025. Could get more in 2026. Late punt/waiver option.,,48.1,46.72,DEF,-20.6,357,65,1,65,65,0.0,0.072,-17.2,-42.1,24.5,61.9,Medium,No,✔,17,Role: Got distributor time in 2025. Could get more in 2026. Late punt/waiver option.,,1,0,0,1,-15.2,55.5,55.5,43.3,12.0,69.5,106.0,,12,,,,48.1,17,106.0,1,0,67.0,0.0,43.3,3,0.0,0,13.8,3,31.0,high,0.89,4,1,1,1,1,0,0,1,0,
Lachlan Gulbin,FWD,GCS,50.0,50.0,12,19,1,rookie,,712.0,1029304,,,50.0,46.72,FWD,-18.2,392,,0,,,0.0,0.5,-30.8,-69.7,57.9,39.2,High,No,,1,,,0,0,0,0,-18.2,50.0,50.0,,0.0,50.0,50.0,,12,,,,50.0,1,50.0,0,0,71.0,0.0,0.0,0,0.0,0,10.8,3,320.0,medium,0.73,3,1,1,0,1,0,0,1,0,
Changkuoth Jiath,DEF,MEL,55.8,50.7,16,26,17,depth,,317.0,998390,Role: Trade to Melbourne for more game time. Bowey out could see more ball. Punt,,53.6,46.68,DEF,-20.3,316,52.5,4,45,65,8.02,0.254,-23.3,-48.2,31.8,55.8,Low,No,✔,20,Role: Trade to Melbourne for more game time. Bowey out could see more ball. Punt,,0,0,0,2,-12.4,58.3,58.3,47.9,10.0,50.7,113.0,,16,,,,53.6,17,113.0,2,0,72.0,0.0,47.9,11,56.5,8,4.7,3,1.0,high,0.97,4,1,1,1,1,0,0,0,0,
Tyler Brockman,FWD,WCE,49.3,40.4,15,23,20,value,,730.0,1013511,"Injury/Suspension: Knee. Club suspension, TBA on return.",,49.3,46.66,FWD,-18.9,355,,0,,,0.0,0.5,-35.4,-67.0,54.6,41.9,High,No,,20,"Injury/Suspension: Knee. Club suspension, TBA on return.",,0,0,0,0,-15.1,49.3,49.3,41.0,8.0,40.4,77.0,12.0,15,,,,49.3,20,77.0,0,0,76.0,0.12,35.3,10,51.5,15,7.4,3,375.0,high,0.84,3,1,1,0,1,0,0,0,0,
Corey Warner,MID/FWD,SYD,49.4,67.0,15,22,14,value,,488.0,1018424,,,49.4,46.61,FWD,-18.8,352,,0,,,0.0,0.5,-20.8,-59.7,31.1,49.2,Medium,Yes,,14,,,0,0,0,0,-14.9,49.4,49.4,45.0,4.0,67.0,75.0,,15,,,,49.4,14,75.0,0,0,78.0,0.0,28.5,6,20.7,3,0.2,3,136.0,high,0.81,3,1,1,0,1,0,0,0,0,
